Time	Epoch_Time	Longitude	Latitude	Altitude	X_J2000	Y_J2000	Z_J2000	X_MSO	Y_MSO	Z_MSO	Instrument_Observation_Direction_X	Instrument_Observation_Direction_Y	Instrument_Observation_Direction_Z	Solar_Incident_Angle	Solar_Azimuth_Angle	Energy_CSI_1	Energy_CSI_2	Energy_CSI_3	Energy_CSI_4	Energy_CSI_5	Energy_CSI_6	Energy_CSI_7	Energy_CSI_8	Energy_CSI_9	Energy_CSI_10	Energy_CSI_11	Energy_CSI_12	Energy_CSI_13	Energy_CSI_14	Energy_CSI_15	Energy_CSI_16	Energy_CSI_17	Energy_CSI_18	Energy_CSI_19	Energy_CSI_20	Energy_CSI_21	Energy_CSI_22	Energy_SD1_1	Energy_SD1_2	Energy_SD1_3	Energy_SD1_4	Energy_SD1_5	Energy_SD1_6	Energy_SD1_7	Energy_SD1_8	Energy_SD1_9	Energy_SD1_10	Energy_SD1_11	Energy_SD1_12	Energy_SD1_13	Energy_SD1_14	Energy_SD1_15	Energy_SD1_16	Energy_SD1_17	Energy_SD1_18	Energy_SD1_19	Energy_SD1_20	Energy_SD1_21	Energy_SD1_22	Energy_SD2_1	Energy_SD2_2	Energy_SD2_3	Energy_SD2_4	Energy_SD2_5	Energy_SD2_6	Energy_SD2_7	Energy_SD2_8	Energy_SD2_9	Energy_SD2_10	Energy_SD2_11	Energy_SD2_12	Energy_SD2_13	Energy_SD2_14	Energy_SD2_15	Energy_SD2_16	Energy_SD2_17	Energy_SD2_18	Energy_SD2_19	Energy_SD2_20	Energy_SD2_21	Energy_SD2_22	Energy_Total_1	Energy_Total_2	Energy_Total_3	Energy_Total_4	Energy_Total_5	Energy_Total_6	Energy_Total_7	Energy_Total_8	Energy_Total_9	Energy_Total_10	Energy_Total_11	Energy_Total_12	Energy_Total_13	Energy_Total_14	Energy_Total_15	Energy_Total_16	Energy_Total_17	Energy_Total_18	Energy_Total_19	Energy_Total_20	Energy_Total_21	Energy_Total_22	He_Index_1	He_Index_2	He_Index_3	He_Index_4	He_Index_5	He_Index_6	He_Index_7	He_Index_8	He_Index_9	He_Index_10	He_Index_11	He_Index_12	He_Index_13	He_Index_14	He_Index_15	He_Index_16	He_Index_17	He_Index_18	He_Index_19	He_Index_20	He_Index_21	He_Index_22	Electron_Index_1	Electron_Index_2	Electron_Index_3	Electron_Index_4	Electron_Index_5	Electron_Index_6	Electron_Index_7	Electron_Index_8	Electron_Index_9	Electron_Index_10	Electron_Index_11	Electron_Index_12	Electron_Index_13	Electron_Index_14	Electron_Index_15	Electron_Index_16	Electron_Index_17	Electron_Index_18	Electron_Index_19	Electron_Index_20	Electron_Index_21	Electron_Index_22	Proton_Index_1	Proton_Index_2	Proton_Index_3	Proton_Index_4	Proton_Index_5	Proton_Index_6	Proton_Index_7	Proton_Index_8	Proton_Index_9	Proton_Index_10	Proton_Index_11	Proton_Index_12	Proton_Index_13	Proton_Index_14	Proton_Index_15	Proton_Index_16	Proton_Index_17	Proton_Index_18	Proton_Index_19	Proton_Index_20	Proton_Index_21	Proton_Index_22	Divide_Ratio	He_Sample_Counts_1	He_Sample_Counts_2	He_Sample_Counts_3	He_Sample_Counts_4	He_Sample_Counts_5	He_Sample_Counts_6	He_Sample_Counts_7	He_Sample_Counts_8	He_Sample_Counts_9	He_Sample_Counts_10	He_Sample_Counts_11	He_Sample_Counts_12	He_Sample_Counts_13	He_Sample_Counts_14	He_Sample_Counts_15	He_Sample_Counts_16	Electron_Sample_Counts_1	Electron_Sample_Counts_2	Electron_Sample_Counts_3	Electron_Sample_Counts_4	Electron_Sample_Counts_5	Electron_Sample_Counts_6	Electron_Sample_Counts_7	Electron_Sample_Counts_8	Electron_Sample_Counts_9	Electron_Sample_Counts_10	Electron_Sample_Counts_11	Electron_Sample_Counts_12	Electron_Sample_Counts_13	Electron_Sample_Counts_14	Electron_Sample_Counts_15	Electron_Sample_Counts_16	Proton_Sample_Counts_1	Proton_Sample_Counts_2	Proton_Sample_Counts_3	Proton_Sample_Counts_4	Proton_Sample_Counts_5	Proton_Sample_Counts_6	Proton_Sample_Counts_7	Proton_Sample_Counts_8	Proton_Sample_Counts_9	Proton_Sample_Counts_10	Proton_Sample_Counts_11	Proton_Sample_Counts_12	Proton_Sample_Counts_13	Proton_Sample_Counts_14	Proton_Sample_Counts_15	Proton_Sample_Counts_16	He_Flux_1	He_Flux_2	He_Flux_3	He_Flux_4	He_Flux_5	He_Flux_6	He_Flux_7	He_Flux_8	He_Flux_9	He_Flux_10	He_Flux_11	He_Flux_12	He_Flux_13	He_Flux_14	He_Flux_15	He_Flux_16	Electron_Flux_1	Electron_Flux_2	Electron_Flux_3	Electron_Flux_4	Electron_Flux_5	Electron_Flux_6	Electron_Flux_7	Electron_Flux_8	Electron_Flux_9	Electron_Flux_10	Electron_Flux_11	Electron_Flux_12	Electron_Flux_13	Electron_Flux_14	Electron_Flux_15	Electron_Flux_16	Proton_Flux_1	Proton_Flux_2	Proton_Flux_3	Proton_Flux_4	Proton_Flux_5	Proton_Flux_6	Proton_Flux_7	Proton_Flux_8	Proton_Flux_9	Proton_Flux_10	Proton_Flux_11	Proton_Flux_12	Proton_Flux_13	Proton_Flux_14	Proton_Flux_15	Proton_Flux_16	Sample_Ratio
1667614006.773	1667642806.773	-31.810673	42.101305	10451.884981	116845157.696213	173973525.476824	76657570.11201	-6605.73832928573	-5140.63737819914	11033.0466335694	0.442783	0.399781	0.802574	180	105.91	0	0	0	0	0	26.05	24.064	0	0.705	0	0	21.47	0	0	0	0.178	0	0	28.955	0.03	0	0	0.214	0.238	0.233	0.332	0.222	0.165	0.159	0.229	0.216	0.225	0.242	0.187	0.238	0.233	0.236	0.214	0.225	0.22	0.17	0.24	0.214	0	0.242	0.063	0.052	0.095	0.283	0.185	0.096	0.054	0.199	0.067	0.076	0.204	0.054	0.063	0.071	0.529	0.052	0.29	0.108	0.064	0.776	0	0.456	0.301	0.285	0.427	0.505	26.4	24.319	0.283	1.12	0.292	0.318	21.861	0.292	0.296	0.307	0.921	0.277	0.51	29.233	0.334	0.99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	2	3	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	124.449053668654	18.6057328914472	18.9293108547767	0	6.38244826726502	2.18749572754741	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.04761904761905
1667614010.773	1667642810.773	-31.829702	42.077399	10450.504659	116845075.535551	173973582.659129	76657593.981729	-6606.51875665593	-5144.83526779466	11028.8891118031	0.442783	0.399781	0.802574	180	105.926	0	0	0	0	0	155.044	0	30.697	0	25.307	0	0	0	22.092	0	0	0	0	16.255	0	0	0	0.225	0.242	0.247	0.222	0.211	0.475	0.238	0.159	0.238	0.163	0.236	0.238	0.247	0.161	0.216	0.227	0.236	0.255	0.152	0.244	0.22	0	0.085	0.074	0.083	0.793	0.989	0.067	0.055	0.157	0.054	0.21	0.075	0.066	0.056	0.078	0.542	0.189	0.053	0.056	0.075	0.077	0.603	0	0.31	0.316	0.33	1.015	1.2	155.586	0.293	31.013	0.292	25.68	0.311	0.304	0.303	22.331	0.758	0.416	0.289	0.311	16.482	0.321	0.823	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	1	0	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	166.364186327889	11.1925111925112	0	5.65320176791037	7.67888307155323	2.63183079720547	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.66666666666667
1667614014.773	1667642814.773	-31.849149	42.049878	10448.905659	116844992.880795	173973640.488385	76657617.459374	-6607.41022443749	-5149.6632391557	11024.0935674185	0.442783	0.399781	0.802574	180	105.942	21.24	0	0	0	0	5.745	0	0	0	0	0	0	0	0	0	0	25.01	22.065	30.995	0	87.791	0	0.172	0.247	0.225	0.359	0.247	0.209	0.238	0.225	0.227	0.216	0.205	0.238	0.218	0.225	0.227	0.207	0.181	0.167	0.15	0.225	0.128	0	0.071	0.052	0.053	0.099	0.089	2.47	0.075	0.075	0.062	0.367	1.372	0.053	0.303	0.074	0.613	0.181	0.059	0.052	0.099	0.072	1.304	0	21.483	0.299	0.278	0.458	0.336	8.424	0.313	0.3	0.289	0.583	1.577	0.291	0.521	0.299	0.84	0.388	25.25	22.284	31.244	0.297	89.223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	2	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	124.449053668654	20.9314495028781	21.2954747116238	0	3.59012715033657	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.42857142857143
1667614018.772	1667642818.772	-31.868786	42.020671	10447.20612	116844910.01719	173973698.604536	76657640.746447	-6608.3528398699	-5154.78246032858	11019.0001604711	0.442783	0.399781	0.802574	180	105.957	0	0	0	5.191	0	0	0	0	0	0	0	0	0	0	21.376	23.713	4.853	0	30.549	0	0	0	0.249	0.222	0.236	0.227	0.242	0.244	0.211	0.229	0.229	0.249	0.249	0.216	0.209	0.24	0.192	0.178	0.207	0.222	0.167	0.247	0.24	0	0.051	0.326	0.052	0.053	0.058	0.074	0.14	0.085	0.066	0.075	0.074	0.337	0.113	0.056	0.082	0.119	0.209	0.391	0.106	0.057	0.093	0	0.3	0.548	0.288	5.471	0.3	0.318	0.351	0.314	0.295	0.324	0.323	0.553	0.322	0.296	21.65	24.01	5.269	0.613	30.822	0.304	0.333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	2	2	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	178.247342494166	21.8035932321647	14.7885241052943	5.50636535835426	0	0	0	0	0	0	0.323780513075552	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.57142857142857
1667614022.772	1667642822.772	-31.88843	41.991404	10445.505033	116844827.125799	173973756.743538	76657664.032757	-6609.29626197652	-5159.91130359095	11013.8958549446	0.442783	0.399781	0.802574	180	105.972	0.003	0	20.362	0	13.445	0	30.333	53.259	18.484	0	0.084	0	10.784	0	28.928	0	0	0	22.416	6.852	0	0	0.247	0.227	0.183	0.229	0.198	0.218	0.159	0.423	0.183	0.24	0.218	0.247	0.216	0.251	0.161	0.218	0.242	0.242	0.163	0.198	0.24	0	0.077	0.061	0.066	0.08	0.325	0.533	0.106	0.074	0.055	0.083	0.892	0.062	0.325	0.072	0.127	0.065	0.052	0.056	0.058	0.133	0.092	0	0.327	0.288	20.611	0.309	13.968	0.751	30.598	53.756	18.722	0.323	1.194	0.309	11.325	0.323	29.216	0.283	0.294	0.298	22.637	7.183	0.332	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	1	0	1	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	120.560020741509	9.01215186929473	0	4.55192869623952	0	2.11913648606155	0	0	0	0	0	0.0890075656430797	0.0588592693855852	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.95238095238095
1667614026.772	1667642826.772	-31.907918	41.963464	10443.885903	116844744.416739	173973814.643034	76657687.461205	-6610.1972990538	-5164.80666954175	11009.0249999695	0.442783	0.399781	0.802574	180	105.988	15.782	22.781	0	15.458	0	0	105.205	55.218	12.648	5.231	0	0	0	0	39.641	19.309	19.862	0	0	0	0	0	0.181	0.167	0.247	0.225	0.238	0.227	0.042	0.139	0.172	0.209	0.24	0.236	0.236	0.238	0.148	0.183	0.181	0.227	0.236	0.229	0.238	0	0.092	0.192	0.056	0.079	0.084	0.062	0.318	0.445	0.068	0.3	0.083	0.058	0.082	0.055	0.125	0.077	0.063	0.258	0.068	0.057	0.079	0	16.055	23.14	0.303	15.762	0.322	0.289	105.565	55.802	12.888	5.74	0.323	0.294	0.318	0.293	39.914	19.569	20.106	0.485	0.304	0.286	0.317	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	153.400743237404	0	6.9999014098393	0	0	0	0	0	0	0	0.153256109522428	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.38095238095238
1667614030.772	1667642830.772	-31.927116	41.937994	10442.416794	116844662.046746	173973872.097895	76657711.154775	-6611.02033874903	-5169.26839931783	11004.5886859325	0.442783	0.399781	0.802574	180	106.003	0	0	12.608	0	0	0	11.108	18.228	0	0	13.107	24.848	26.266	17.377	0	0	0	0	0	0	0	0	0.22	0.24	0.194	0.242	0.242	0.236	0.198	0.167	0.222	0.211	0.192	0.174	0.178	0.181	0.24	0.231	0.242	0.229	0.2	0.24	0.227	0	0.069	0.066	0.218	0.057	0.072	0.057	0.365	0.065	0.082	0.391	0.174	0.243	1.476	0.138	0.076	0.056	0.076	0.053	0.228	0.074	0.056	0	0.289	0.306	13.02	0.299	0.314	0.293	11.671	18.46	0.304	0.602	13.473	25.265	27.92	17.696	0.316	0.287	0.318	0.282	0.428	0.314	0.283	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	191.858957739175	10.7564393278679	0	5.4329471535762	0	0	0	0	0	0	0	0	0.0702513860408597	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.52380952380952
1667614034.772	1667642834.772	-31.945919	41.915918	10441.152179	116844580.140151	173973928.943997	76657735.213535	-6611.73689803701	-5173.13765596507	11000.749295208	0.442783	0.399781	0.802574	180	106.02	0	0	0	18.12	0	0	0	1.178	0	0	0	0	0	0	0.53	1.462	0	0	0	2.678	0	0	0.238	0.236	0.244	0.189	0.211	0.238	0.229	0.218	0.229	0.214	0.244	0.227	0.238	0.229	0.222	0.222	0.216	0.247	0.24	0.434	0.233	0	0.074	0.056	0.073	0.192	0.341	0.066	0.066	0.141	0.074	0.143	0.067	0.06	0.081	0.07	0.296	0.132	0.39	0.069	0.084	0.07	0.052	0	0.312	0.292	0.317	18.501	0.552	0.304	0.295	1.537	0.303	0.357	0.311	0.287	0.319	0.299	1.048	1.816	0.606	0.316	0.324	3.182	0.285	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	1	1	1	1	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	143.246046149857	7.41322169893598	5.02809819580006	3.74432844368089	2.54300673148841	0	2.33292164127899	0	0.369488106829879	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.42857142857143
1667614038.771	1667642838.771	-31.964238	41.897966	10440.134492	116844498.817832	173973985.036643	76657759.708688	-6612.32416152647	-5176.28531325767	10997.6347996587	0.442783	0.399781	0.802574	180	106.036	0	0	1.813	0	0	0	13.85	0	0	0	0	0	14.148	0	0	0	0	29.265	38.898	0	0	0	0.218	0.218	0.196	0.227	0.24	0.242	0.194	0.229	0.238	0.229	0.236	0.227	0.205	0.229	0.236	0.236	0.242	0.159	0.438	0.262	0.233	0	0.069	0.459	0.096	0.207	0.087	0.054	0.056	0.67	0.094	0.255	0.063	0.054	0.392	0.106	0.083	0.073	0.065	0.094	0.071	0.069	0.058	0	0.287	0.677	2.105	0.434	0.327	0.296	14.1	0.899	0.332	0.484	0.299	0.281	14.745	0.335	0.319	0.309	0.307	29.518	39.407	0.331	0.291	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	4	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	151.672284158673	45.3514739229025	7.69003253475303	5.72661997268843	3.88930441286462	0	0	1.10229276895944	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.71428571428571
1667614042.771	1667642842.771	-31.982022	41.884671	10439.394407	116844418.110989	173974040.308299	76657784.71122	-6612.76570656309	-5178.62100312987	10995.3386146285	0.442783	0.399781	0.802574	180	106.053	0	0	0	0	0	0	0	20.984	0	0	0	0	0	0	14.864	0	17.998	0	0	0	0	0	0.24	0.231	0.225	0.231	0.229	0.247	0.218	0.167	0.231	0.242	0.376	0.236	0.242	0.227	0.187	0.236	0.174	0.22	0.24	0.227	0	0	0.055	0.08	0.068	0.068	0.202	0.056	0.285	0.122	0.061	0.069	0.087	0.073	0.067	0.096	0.149	0.07	0.052	0.302	0.083	0.066	0	0	0.295	0.311	0.293	0.299	0.431	0.303	0.503	21.273	0.292	0.311	0.463	0.309	0.309	0.323	15.2	0.306	18.224	0.522	0.323	0.293	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	209.392014519056	10.8363858363858	22.0496894409938	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.55
1667614046.771	1667642846.771	-31.999222	41.876419	10438.953794	116844338.09339	173974094.676074	76657810.255048	-6613.04942850275	-5180.07575519492	10993.9279162581	0.442783	0.399781	0.802574	180	106.07	0	0	0	0	0	13.472	0	0	0	0	0	34.683	0	0	0	13.337	0	23.578	0	0	0	0	0.214	0.244	0.231	0.216	0.247	0.218	0.22	0.247	0.207	0.225	0.247	0.427	0.222	0.242	0.247	0.196	0.231	0.181	0.231	0.233	0.236	0	0.105	0.068	0.068	1.015	0.084	0.058	0.207	0.08	0.579	0.056	0.055	0.075	0.141	0.07	0.058	0.184	0.067	0.052	0.153	0.054	0.057	0	0.319	0.312	0.299	1.231	0.331	13.748	0.427	0.327	0.786	0.281	0.302	35.185	0.363	0.312	0.305	13.717	0.298	23.811	0.384	0.287	0.293	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	159.234292628122	38.9557532414675	0	4.9190197201298	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.19047619047619
1667614050.771	1667642850.771	-32.015812	41.873437	10438.825477	116844258.79457	173974148.099809	76657836.36512	-6613.16805118508	-5180.61156968264	10993.4428359893	0.442783	0.399781	0.802574	180	106.088	0	0	0	0	31.886	23.915	0	22.646	16.512	0	0	0	28.576	0	4.88	0	0	126.659	3.677	0	0	0	0.214	0.247	0.231	0.236	0.152	0.17	0.244	0.165	0.174	0.236	0.211	0.251	0.161	0.24	0.211	0.233	0.229	0.009	0.216	0.255	0.216	0	0.321	0.069	0.065	0.062	0.099	0.104	0.053	0.355	0.093	0.054	0.291	0.077	0.202	0.061	0.133	0.083	0.055	0.335	0.462	0.054	0.209	0	0.535	0.316	0.296	0.298	32.137	24.189	0.297	23.166	16.779	0.29	0.502	0.328	28.939	0.301	5.224	0.316	0.284	127.003	4.355	0.309	0.425	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	1	2	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	166.364186327889	11.1925111925112	15.1828847481021	0	0	0	0	0	0	0.279454504806617	0.16620733004545	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.66666666666667
1667614054.771	1667642854.771	-32.03178	41.875827	10439.015046	116844180.229731	173974200.56094	76657863.051413	-6613.1184873139	-5180.20919241129	10993.9005496851	0.442783	0.399781	0.802574	180	106.106	0	1.529	0	0	0	0	7.447	0	0	31.346	0	48.125	0	0	0	0	0	0	0	0	0	0	0.211	0.22	0.249	0.244	0.229	0.24	0.203	0.218	0.236	0.174	0.229	0.181	0.236	0.205	0.22	0.238	0.519	0.229	0.236	0.238	0.211	0	0.126	0.206	0.083	0.066	0.062	0.052	0.108	0.095	0.09	0.089	0.062	0.365	0.057	0.054	0.368	0.063	4.822	0.053	0.082	0.068	0.19	0	0.337	1.955	0.332	0.31	0.291	0.292	7.758	0.313	0.326	31.609	0.291	48.671	0.293	0.259	0.588	0.301	5.341	0.282	0.318	0.306	0.401	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	3	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	173.710137412497	29.2168149311007	6.60554076703145	0	0	0	1.53240931338914	0	0	0	0	0.0961855951304248	0	0	0	0	0	0.659189295552932	0	0	0	0	0	0	0	0	0	0	0	3.19047619047619
1667614058.77	1667642858.77	-32.047126	41.883564	10439.520949	116844102.414094	173974252.051014	76657890.305074	-6612.90131921057	-5178.87415088471	10995.2969091195	0.442783	0.399781	0.802574	180	106.125	0	13.621	15.553	0	0	0.192	0	0	0	27.482	29.603	0	0	0	16.742	10.095	0	0	8.406	0	10.784	0	0.22	0.185	0.187	0.249	0.229	0.203	0.222	0.242	0.244	0.165	0.176	0.236	0.247	0.238	0.183	0.209	0.229	0.242	0.192	0.222	0.198	0	0.062	0.118	0.242	0.072	0.065	2.595	0.513	0.087	0.087	0.091	0.165	0.063	0.052	0.053	0.065	0.233	0.073	0.069	0.147	0.065	0.108	0	0.282	13.924	15.982	0.321	0.294	2.99	0.735	0.329	0.331	27.738	29.944	0.299	0.299	0.291	16.99	10.537	0.302	0.311	8.745	0.287	11.09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	1	0	1	0	0	0	0	0	0	0	1	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	149.079595540576	10.0296528867957	0	5.06585612968592	0	0	0	0	0	0	0	0.0990568069253628	0.131009341535657	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.28571428571429
